Empty,"TB is intracellular; thereby TH1 cells mediate the response with granulomas, stimulating formation of giant cells, etc."
" most similar to throid stimulating hormone (TSH), leutinizing hormone (LH), or follicle stimulating hormone (FSH) in terms of structure",Beta-HCG
 a ureathral opening on the VENTRAL surface of the penis,Hypospadias
 caused by a fractured pelvis; urine will flow into the retropubic space,Anterior bladder wall rupture
 rupture of the urethra between the membranous and penile urethrea (below the urethral diaphragm) can cause urine to flow into the scrotum,Straddle injury
 sperm aquire motility in the epididymis,Spermatogenesis
" ""SEVE(N) UP"" for passage of sperm; *S*eminiferous tubules, *E*pididymis, *V*as deferens, *E*jactulatory duct, [*N*othing], *U*rethra, *P*enis",Sparmatogenesis
Empty,*Clinical Reflexes*
 buckle my shoe (Achilles),S1-S2
 kick the door (patellar),L2-L4
 pick up sticks (biceps),C5-C6
 lay them straight (triceps),C7-C8
 testicles move (cremaster),L1-L2
 winks galore (anal wink),S3-S4
 antiplatelet agent that can be used in early treatment of stroke,Asprin
 can be treated with dantrolene AND/OR anti-epileptic agents; just like malignant hyperthermia,Neuroleptic malignant syndrome
" mito mutation that results in central scotoma, or central vision loss",Leber hereditary optic neuropathy
" can present with numbness in the extremities (in addition to fatigue after temperature changes, eye pain, tremor, scanning speech, horizontal opthalmoplegia)",MS
 lesions affecting the spinothalamic tract would generally affect sympathetic fibers as well,Lateral medullary syndrome
 confabulation -> fabrication of stories to fill memory gaps; follows Wernicke's encephalopathy,Korsakoff syndrome
 encephalopathy is mediated by infection of microglia in the CNS,HIV
 pain and temperature sensation (vs Dorsal columns for vibration and proprioception,Spinothalamic tract
 associated with slowed conduction velocities due to segmental demylination,Guillain-Barre Syndrome
 high ICP is generally treated with intubation and hyperventilation first; lumbar puncture would relieve it but can worsen herniation (e.g. if due to a bleed that would fill that space); requires imaging first,ICP
 commonly presents with ASYMMETRIC sensory loss,MS
 buildup of Phe/phenylalanine because of enzyme deficiency preventing metab of Phe -> tyrosine; enzyme Phe-OH def or dihydrobiopterin (BH4); presents with musty odor; treatment: diet,PKU
 left angular gyrus injury; connects with Wiernicke's area via the arcuate fasciculus,Gerstmann syndrome
" pain/temperature sensation fibers decussate, thereby infarcts/damage affects CONTRALATERAL side",Spinothalamic tract
" stimulant for narcolepsy; not to be confused with minoxidil, a hair treatment/last resort BP med",Modafinil
" sensineural hearing loss, vertigo, tinnitus due to increased volume of endolymph",Meniere disease
" in addition to psychological issues and Huntington's chorea, can also present with essential tremor and athetosis (slow writhing movements of hands and feet)",Huntington's disease
 lower motor neuron lesion resulting in paralysis to a side of the face; an upper motor neuron lesion would spare forehead due to dual innervation from the contralateral facial nerve nucleus,Bell's palsy
 a muscarinic receptor antagonist that limits effects of cholinergic excess w/o effect on NMJ (pralidoxeme regenerates),Atropine
 timeframe is MUCH SHORTER (e.g. 1 mo) and leads to rapid cognitive decline with a STARTLE response,Prion disease
" can be presented as ""alternating stiffening and jerking off of the limbs, and irregular breathing for >5 minutes""",Status epilepticus
" also derived from tryptophan; generally results in a parathesia, dermatitis, dementia, and diarrhea",Vitamin B3
" in deficiency, can present with Wernicke encephalopathy, which is characterized by opthalmoplegia, nystagmus, ataxia, or encephalopathy",Vitamin B1 (thiamine)
 responsible for truncal ataxia; vermis / spinocerebellum is central,Spinocerebellum / cerebellar vermis
" responsible for balance, posture, eye movements; vestibulocerebellum is like vestibulococlear",Vestibulocerebellum
" most lateral portion of the cerebellum; affects lateral body (e.g. dysdiadochokinesia, AKA rapid hand movement test, tremor during purposeful movement)",Cerebrocerebellum / neocerebellum
 tremor occurs at rest due to inhibition issues with the SNpc,Parkinson's
" feature of temporal/giant cell arteritis, which worsens while eating",Jaw pain
" via abberant activation of the trigeminal; present as severe unilateral periorbital pain, occur time-wise as clusters, associated with lacrimation; common symptoms of migrane headaches do not occur with cluster headaches",Cluster headaches
 B12 deficiency,Degeneration of posterior columns and corticospinal tracts
" associated with Gerstmann syndrome, which presents with dyscalculia, agraphia, finger agnosia, all due to VISUAL ASSOCIATION changes",Left parietal lobe lesion
 located on the left frontal lobe adjacent to the primary motor cortex,Broca's area
" lesions affect ipsilateral side because connections are ultimately ""double crossed"": they decussate after leaving the cerebellum, only to decussate again in the medulla",Cerebellum
 all limit reuptake of NE in cleft,"Tricyclic anti-depressants, Cocaine, amphetamines"
" associated with neck, shoulder stiffness",Tension headache
 can be used for cluster headaches in addition to migrane prophylaxis,Verapamil
" homocystinuria, vs lens dislocated  UPWARD = Marfan's",Lens dislocated downward
 qiq g-proteins respectively,"M1, M2, M3"
" adrenergic, muscarinic, dopaminergic, vasopressin receptors respectively",QISS and QIQ until you're SIQ of SQS
" associated with many motor defects in body and eye, but NOT hoarseness/dysphagia (CNX intact)",Midbrain lesions
 can occur via degeneration of PROXIMAL hair cells in the organ of Corti,Hearing loss of high frequencies
" any antipsychotic except clozapine, olanzapine",Schizophrenia first-line treatment
" stage one's rash could be described as ""an erythematous rash with central clearing""",Lyme disease
 only from animal products; vs B9/folate from leafy greens,B12
" both in brain, and _bacterial_ infections of the lung",Liquefactive necrosis
" serious effusion into the pericardium results in low-voltage, diffuse, QRS complexes as the heart swings within the pericardial fluid while beating",Cardiac tamponade
 normal labs,Osteoperosis
 not associated with additional bone formation; but neuroectodermal sheets of cells,Ewing's sarcoma
 think SLE,Lupus from drug reactions
 can accelerate fetal lung maturation before birth,Corticosteroids
" associated with psoriasis, and nail pitting, in addition to asymmetric joint swelling / pain",Psoriatic arthritis
" a hereditary form of glomerular nephritis with sensorineural hearing loss with some ocular abnormalities, due to mutation in Type IV collagen",Alport syndrome
" can be associated with hemoptysis, hematuria, with elevated creatinine and BUN",Goodpasture syndrome
 generally presents with relapsing spiking fevers with associated rash; associated with uveitis and hemophagocytic syndrome,Juvenile idiopathic arthritis
 only pharygneal muscle that receives innervation from the vagus nerve,Palatoglossus
" to differentiate, consider age. Osteopetrosis presents in adolescence at the latest, Paget's disease presents in elderly",Osteopetrosis and paget disease of bone stage 2
" myosin light-chain kinase phosphoyrlating myosin is the primary method of contraction in smooth muscle; whereas in skeletal muscle, calcium binding to troponin C allows conformational changes in myosin for contraction",Smooth vs skeletal muscle
" caused by damage to long thoracic nerve; ""C5-C7 keeps the wings from flying to heaven""",Winged scapula
" a group of disorders resulting from collagen synthesis/processing; vascular EDS is associated with defective type 3 collagen, found in vessels",Ehlers-danlos
 associated with wrist extension deficits,Radial nerve damage
 associated with wrist flexion deficits,Medial nerve damage
 a myopathy caused by deletion in mitochondrial DNA; heteroplasmy means that mother does not need to express clinical symptoms,Ragged red fiber myopathy
 big muscle across the wing of the scapula; it adducts and medially rotates the arm,Subscapularis
 a deficiency in tyrosine degradation results in homogentisic acid buildup everywhere; associated with dark urine and plasma but otherwise healthy with some arthralgia,Alkaptonuria
 associated with severe blisters over sun-exposed areas,Photosensitivity reaction
" stiffening or consolidation of joints; associated with HLA B27; commonly associated with uveitis and aortic regurg; MALES AND FEMALES equally, along with RA",Ankylosing spondylitis
" associated with dislodged pieces of cartilage and subchondral bone in the joint space, causing pain and limited range of motion",Osteoarthritis
" may present with thyomas, which can even lead to collapse of a lung lobe",Myasthenia gravis
" innervates *BEST* for Brachoradialis, Extensors of the wrist and fingers, Supinator, Triceps",Radial nerve
" before anti-inflammatory/immunosuppressive treatment, tests for latent infections (e.g. PPD for TB) should be completed before",Ankylosing spondylitis
 causes issues with hydroxylation of proline and lysine in the _endoplasmic reticulum_,Scurvy
" can be associated with atrophy of the thenar muscles *Oaf* (opponens pollicis, abductor pollicis previs, flexor pollicis brevis, with lower-case for brevis)",Carpal tunnel syndrome
 autosomal recessive,Cystic fibrosis
" a glycogen storage disorder of myophosphophorylase, an isozyme of glycogen phosphorylase localized to muscle; associated with rapid fatigue",McArdle disease
" forces use of glucose in muscle; if shows no lactate elevation, then there is insufficient glucose is liberated from muscle glycogen (McArdle disease)",Forearm ischemic exercise test
 driven by acetylation; associated with anti-histone Abs,Drug-induced lupus
" non-selective beta blockers are contraindicated in asthma, COPD; use selective ones instead (ABEAM)",Beta blockers for CHF
 folinic acid can help in addition to leucovorin,Methotrexate overdose
 can result in painful muscle cramping,Hypokalemia
 is an aromatase inhibitor preventing androgen aromatization in the setting of breast cancer,Anastrozole
 useful for only short-term acute overdose of opiates; use methadone or buphrenorphine instead for long term treatment,Naloxone
